date,Usage_kWh,Lagging_Current_Reactive_Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,month,time_of_day,machine_downtime,Usage_kWh_categorical,year,day
2018-01-09 11:00:00,116.68,43.74,0.0,0.05,93.64,100.0,39600,Weekday,Tuesday,1,Morning,Uptime,High,2018,9
2018-01-09 11:30:00,106.49,55.62,0.0,0.05,88.64,100.0,41400,Weekday,Tuesday,1,Morning,Uptime,High,2018,9
2018-01-09 18:45:00,121.36,49.25,0.0,0.06,92.66,100.0,67500,Weekday,Tuesday,1,Evening,Uptime,High,2018,9
2018-01-09 20:45:00,99.72,25.88,0.0,0.05,96.79,100.0,74700,Weekday,Tuesday,1,Evening,Uptime,High,2018,9
2018-01-10 13:15:00,84.82,31.25,3.02,0.04,93.83,99.94,47700,Weekday,Wednesday,1,Afternoon,Uptime,High,2018,10
2018-01-11 08:45:00,116.28,71.78,0.0,0.05,85.09,100.0,31500,Weekday,Thursday,1,Morning,Uptime,High,2018,11
2018-01-11 12:45:00,13.75,0.0,23.69,0.01,100.0,50.2,45900,Weekday,Thursday,1,Afternoon,Downtime,Low,2018,11
2018-01-11 21:45:00,5.18,0.0,26.5,0.0,100.0,19.18,78300,Weekday,Thursday,1,Evening,Downtime,Low,2018,11
2018-01-12 01:45:00,4.79,5.4,0.0,0.0,66.36,100.0,6300,Weekday,Friday,1,Night,Uptime,Low,2018,12
2018-01-12 02:30:00,4.79,5.22,0.0,0.0,67.61,100.0,9000,Weekday,Friday,1,Night,Uptime,Low,2018,12
2018-01-12 03:45:00,4.72,4.82,0.0,0.0,69.97,100.0,13500,Weekday,Friday,1,Night,Uptime,Low,2018,12
2018-01-12 06:00:00,4.72,5.08,0.0,0.0,68.07,100.0,21600,Weekday,Friday,1,Night,Uptime,Low,2018,12
2018-01-12 06:30:00,4.79,5.04,0.0,0.0,68.89,100.0,23400,Weekday,Friday,1,Morning,Uptime,Low,2018,12
2018-01-12 08:00:00,7.09,4.18,0.0,0.0,86.14,100.0,28800,Weekday,Friday,1,Morning,Uptime,Low,2018,12
2018-01-13 15:45:00,112.39,41.87,0.0,0.05,93.71,100.0,56700,Weekend,Saturday,1,Afternoon,Uptime,High,2018,13
2018-01-13 16:15:00,79.2,31.9,0.0,0.04,92.76,100.0,58500,Weekend,Saturday,1,Afternoon,Uptime,High,2018,13
2018-01-13 18:00:00,5.18,0.0,26.6,0.0,100.0,19.11,64800,Weekend,Saturday,1,Afternoon,Downtime,Low,2018,13
2018-01-13 23:15:00,4.54,3.96,0.0,0.0,75.36,100.0,83700,Weekend,Saturday,1,Evening,Uptime,Low,2018,13
2018-01-13 23:30:00,4.57,3.85,0.0,0.0,76.48,100.0,84600,Weekend,Saturday,1,Evening,Uptime,Low,2018,13
2018-01-14 03:30:00,4.61,4.79,0.0,0.0,69.34,100.0,12600,Weekend,Sunday,1,Night,Uptime,Low,2018,14
2018-01-14 05:45:00,4.03,3.56,0.0,0.0,74.95,100.0,20700,Weekend,Sunday,1,Night,Uptime,Low,2018,14
2018-01-14 08:45:00,6.98,7.31,0.25,0.0,69.06,99.94,31500,Weekend,Sunday,1,Morning,Uptime,Low,2018,14
2018-01-14 14:45:00,29.45,0.11,9.32,0.01,100.0,95.34,53100,Weekend,Sunday,1,Afternoon,Uptime,High,2018,14
2018-01-14 16:45:00,7.09,0.0,22.25,0.0,100.0,30.36,60300,Weekend,Sunday,1,Afternoon,Downtime,Low,2018,14
2018-01-14 21:00:00,4.97,0.0,26.96,0.0,100.0,18.13,75600,Weekend,Sunday,1,Evening,Downtime,Low,2018,14
2018-01-15 02:30:00,4.57,4.68,0.0,0.0,69.86,100.0,9000,Weekday,Monday,1,Night,Uptime,Low,2018,15
2018-01-15 04:30:00,4.64,4.57,0.0,0.0,71.25,100.0,16200,Weekday,Monday,1,Night,Uptime,Low,2018,15
2018-01-15 05:00:00,4.61,4.32,0.0,0.0,72.97,100.0,18000,Weekday,Monday,1,Night,Uptime,Low,2018,15
2018-01-15 08:00:00,7.02,3.71,0.04,0.0,88.41,100.0,28800,Weekday,Monday,1,Morning,Uptime,Low,2018,15
2018-01-15 08:45:00,82.08,78.26,0.0,0.04,72.37,100.0,31500,Weekday,Monday,1,Morning,Uptime,High,2018,15
2018-01-16 04:15:00,4.68,5.83,0.0,0.0,62.6,100.0,15300,Weekday,Tuesday,1,Night,Uptime,Low,2018,16
2018-01-16 07:00:00,4.64,6.05,0.0,0.0,60.86,100.0,25200,Weekday,Tuesday,1,Morning,Uptime,Low,2018,16
2018-01-16 08:30:00,65.52,51.91,0.0,0.03,78.38,100.0,30600,Weekday,Tuesday,1,Morning,Uptime,High,2018,16
2018-01-16 12:45:00,8.39,0.0,25.7,0.0,100.0,31.03,45900,Weekday,Tuesday,1,Afternoon,Downtime,Low,2018,16
2018-01-16 13:15:00,77.22,33.77,1.84,0.04,91.62,99.97,47700,Weekday,Tuesday,1,Afternoon,Uptime,High,2018,16
2018-01-16 14:30:00,74.95,30.92,0.0,0.03,92.44,100.0,52200,Weekday,Tuesday,1,Afternoon,Uptime,High,2018,16
2018-01-16 16:00:00,76.14,30.6,0.0,0.03,92.79,100.0,57600,Weekday,Tuesday,1,Afternoon,Uptime,High,2018,16
2018-01-16 20:30:00,77.98,36.32,0.0,0.04,90.65,100.0,73800,Weekday,Tuesday,1,Evening,Uptime,High,2018,16
2018-01-16 21:30:00,5.47,0.0,26.5,0.0,100.0,20.22,77400,Weekday,Tuesday,1,Evening,Downtime,Low,2018,16
2018-01-17 00:00:00,36.9,27.29,0.0,0.02,80.4,100.0,0,Weekday,Wednesday,1,,Uptime,High,2018,17
2018-01-17 04:30:00,4.64,4.5,0.0,0.0,71.79,100.0,16200,Weekday,Wednesday,1,Night,Uptime,Low,2018,17
2018-01-17 11:00:00,76.97,32.44,0.0,0.04,92.15,100.0,39600,Weekday,Wednesday,1,Morning,Uptime,High,2018,17
2018-01-17 11:15:00,61.56,35.42,0.0,0.03,86.68,100.0,40500,Weekday,Wednesday,1,Morning,Uptime,High,2018,17
2018-01-17 14:00:00,80.75,35.5,0.0,0.04,91.54,100.0,50400,Weekday,Wednesday,1,Afternoon,Uptime,High,2018,17
2018-01-17 21:15:00,38.56,0.9,2.48,0.02,99.97,99.79,76500,Weekday,Wednesday,1,Evening,Uptime,High,2018,17
2018-01-17 23:00:00,34.88,24.66,0.0,0.02,81.65,100.0,82800,Weekday,Wednesday,1,Evening,Uptime,High,2018,17
2018-01-17 23:45:00,40.25,30.46,0.0,0.02,79.74,100.0,85500,Weekday,Wednesday,1,Evening,Uptime,High,2018,17
2018-01-18 02:30:00,40.46,32.04,0.0,0.02,78.4,100.0,9000,Weekday,Thursday,1,Night,Uptime,High,2018,18
2018-01-18 07:30:00,40.1,29.74,0.0,0.02,80.32,100.0,27000,Weekday,Thursday,1,Morning,Uptime,High,2018,18
2018-01-18 14:00:00,102.85,34.27,0.0,0.05,94.87,100.0,50400,Weekday,Thursday,1,Afternoon,Uptime,High,2018,18
2018-01-18 17:00:00,120.02,39.92,0.0,0.06,94.89,100.0,61200,Weekday,Thursday,1,Afternoon,Uptime,High,2018,18
2018-01-18 19:00:00,135.94,54.72,0.0,0.06,92.77,100.0,68400,Weekday,Thursday,1,Evening,Uptime,High,2018,18
2018-01-18 20:00:00,114.66,47.41,0.0,0.05,92.41,100.0,72000,Weekday,Thursday,1,Evening,Uptime,High,2018,18
2018-01-18 23:30:00,53.57,32.18,0.0,0.02,85.72,100.0,84600,Weekday,Thursday,1,Evening,Uptime,High,2018,18
2018-01-19 03:00:00,69.16,37.15,0.0,0.03,88.09,100.0,10800,Weekday,Friday,1,Night,Uptime,High,2018,19
2018-01-19 10:00:00,88.85,32.29,0.0,0.04,93.99,100.0,36000,Weekday,Friday,1,Morning,Uptime,High,2018,19
2018-01-19 10:15:00,93.64,33.34,0.0,0.04,94.21,100.0,36900,Weekday,Friday,1,Morning,Uptime,High,2018,19
2018-01-19 10:45:00,102.85,35.46,0.0,0.05,94.54,100.0,38700,Weekday,Friday,1,Morning,Uptime,High,2018,19
2018-01-19 15:45:00,105.8,46.3,0.0,0.05,91.61,100.0,56700,Weekday,Friday,1,Afternoon,Uptime,High,2018,19
2018-01-19 17:45:00,35.68,0.36,8.42,0.02,99.99,97.33,63900,Weekday,Friday,1,Afternoon,Uptime,High,2018,19
2018-01-19 18:00:00,32.94,0.0,9.04,0.02,100.0,96.43,64800,Weekday,Friday,1,Afternoon,Downtime,High,2018,19
2018-01-19 19:00:00,108.79,37.55,0.0,0.05,94.53,100.0,68400,Weekday,Friday,1,Evening,Uptime,High,2018,19
2018-01-19 23:45:00,30.6,23.11,0.0,0.01,79.8,100.0,85500,Weekday,Friday,1,Evening,Uptime,High,2018,19
2018-01-20 00:00:00,39.28,30.1,0.0,0.02,79.37,100.0,0,Weekend,Saturday,1,,Uptime,High,2018,20
2018-01-20 01:00:00,77.15,38.66,0.0,0.04,89.4,100.0,3600,Weekend,Saturday,1,Night,Uptime,High,2018,20
2018-01-20 03:00:00,59.8,34.45,0.0,0.03,86.65,100.0,10800,Weekend,Saturday,1,Night,Uptime,High,2018,20
2018-01-20 06:15:00,92.66,44.21,0.0,0.04,90.25,100.0,22500,Weekend,Saturday,1,Morning,Uptime,High,2018,20
2018-01-20 07:30:00,39.49,28.44,0.0,0.02,81.15,100.0,27000,Weekend,Saturday,1,Morning,Uptime,High,2018,20
2018-01-20 10:15:00,54.18,11.95,0.0,0.02,97.65,100.0,36900,Weekend,Saturday,1,Morning,Uptime,High,2018,20
2018-01-20 11:15:00,51.52,26.75,0.0,0.02,88.75,100.0,40500,Weekend,Saturday,1,Morning,Uptime,High,2018,20
2018-01-21 02:00:00,40.93,31.36,0.0,0.02,79.38,100.0,7200,Weekend,Sunday,1,Night,Uptime,High,2018,21
2018-01-21 02:15:00,37.48,28.8,0.0,0.02,79.29,100.0,8100,Weekend,Sunday,1,Night,Uptime,High,2018,21
2018-01-21 02:30:00,34.92,26.14,0.0,0.02,80.05,100.0,9000,Weekend,Sunday,1,Night,Uptime,High,2018,21
2018-01-21 02:45:00,40.03,30.24,0.0,0.02,79.79,100.0,9900,Weekend,Sunday,1,Night,Uptime,High,2018,21
2018-01-21 04:00:00,38.2,28.87,0.0,0.02,79.78,100.0,14400,Weekend,Sunday,1,Night,Uptime,High,2018,21
2018-01-21 16:45:00,5.08,0.0,25.7,0.0,100.0,19.39,60300,Weekend,Sunday,1,Afternoon,Downtime,Low,2018,21
2018-01-21 19:00:00,4.97,0.0,27.0,0.0,100.0,18.1,68400,Weekend,Sunday,1,Evening,Downtime,Low,2018,21
2018-01-21 20:15:00,4.46,0.0,21.92,0.0,100.0,19.94,72900,Weekend,Sunday,1,Evening,Downtime,Low,2018,21
2018-01-22 05:00:00,4.43,4.1,0.0,0.0,73.39,100.0,18000,Weekday,Monday,1,Night,Uptime,Low,2018,22
2018-01-22 10:45:00,88.09,41.83,0.0,0.04,90.33,100.0,38700,Weekday,Monday,1,Morning,Uptime,High,2018,22
2018-01-22 16:15:00,63.5,25.81,0.0,0.03,92.64,100.0,58500,Weekday,Monday,1,Afternoon,Uptime,High,2018,22
2018-01-22 23:45:00,38.56,28.69,0.0,0.02,80.23,100.0,85500,Weekday,Monday,1,Evening,Uptime,High,2018,22
2018-01-23 05:15:00,39.56,29.2,0.0,0.02,80.46,100.0,18900,Weekday,Tuesday,1,Night,Uptime,High,2018,23
2018-01-23 07:15:00,39.49,29.02,0.0,0.02,80.58,100.0,26100,Weekday,Tuesday,1,Morning,Uptime,High,2018,23
2018-01-23 09:00:00,86.47,42.26,0.0,0.04,89.84,100.0,32400,Weekday,Tuesday,1,Morning,Uptime,High,2018,23
2018-01-23 10:00:00,66.06,22.1,0.0,0.03,94.83,100.0,36000,Weekday,Tuesday,1,Morning,Uptime,High,2018,23
2018-01-23 11:45:00,65.2,41.36,0.0,0.03,84.44,100.0,42300,Weekday,Tuesday,1,Morning,Uptime,High,2018,23
2018-01-23 12:15:00,20.41,8.53,18.72,0.01,92.27,73.7,44100,Weekday,Tuesday,1,Afternoon,Uptime,Low,2018,23
2018-01-23 12:30:00,10.76,0.0,24.98,0.0,100.0,39.56,45000,Weekday,Tuesday,1,Afternoon,Downtime,Low,2018,23
2018-01-23 15:00:00,71.39,28.15,0.0,0.03,93.03,100.0,54000,Weekday,Tuesday,1,Afternoon,Uptime,High,2018,23
2018-01-23 16:15:00,72.5,29.38,0.0,0.03,92.68,100.0,58500,Weekday,Tuesday,1,Afternoon,Uptime,High,2018,23
2018-01-23 18:45:00,83.56,42.95,0.0,0.04,88.94,100.0,67500,Weekday,Tuesday,1,Evening,Uptime,High,2018,23
2018-01-24 09:15:00,79.27,35.89,0.0,0.04,91.1,100.0,33300,Weekday,Wednesday,1,Morning,Uptime,High,2018,24
2018-01-24 10:45:00,62.82,15.7,0.0,0.03,97.02,100.0,38700,Weekday,Wednesday,1,Morning,Uptime,High,2018,24
2018-01-24 11:00:00,61.31,18.94,0.0,0.03,95.54,100.0,39600,Weekday,Wednesday,1,Morning,Uptime,High,2018,24
2018-01-24 14:00:00,97.34,44.75,0.0,0.04,90.86,100.0,50400,Weekday,Wednesday,1,Afternoon,Uptime,High,2018,24
2018-01-24 15:45:00,83.66,41.18,0.0,0.04,89.72,100.0,56700,Weekday,Wednesday,1,Afternoon,Uptime,High,2018,24
2018-01-24 18:15:00,30.02,4.1,0.9,0.01,99.08,99.96,65700,Weekday,Wednesday,1,Evening,Uptime,High,2018,24
2018-01-24 21:45:00,36.4,0.25,4.9,0.02,100.0,99.11,78300,Weekday,Wednesday,1,Evening,Uptime,High,2018,24
2018-01-24 22:00:00,38.2,0.65,3.42,0.02,99.99,99.6,79200,Weekday,Wednesday,1,Evening,Uptime,High,2018,24
2018-01-24 22:15:00,39.2,11.2,0.36,0.02,96.15,100.0,80100,Weekday,Wednesday,1,Evening,Uptime,High,2018,24
2018-01-25 05:15:00,40.68,29.63,0.0,0.02,80.83,100.0,18900,Weekday,Thursday,1,Night,Uptime,High,2018,25
2018-01-25 05:30:00,37.33,26.39,0.0,0.02,81.66,100.0,19800,Weekday,Thursday,1,Night,Uptime,High,2018,25
2018-01-25 07:00:00,38.34,27.68,0.0,0.02,81.08,100.0,25200,Weekday,Thursday,1,Morning,Uptime,High,2018,25
2018-01-25 17:15:00,74.7,26.93,0.0,0.03,94.07,100.0,62100,Weekday,Thursday,1,Afternoon,Uptime,High,2018,25
2018-01-26 02:15:00,30.28,23.69,0.0,0.01,78.76,100.0,8100,Weekday,Friday,1,Night,Uptime,High,2018,26
2018-01-26 17:30:00,120.13,26.78,0.0,0.06,97.6,100.0,63000,Weekday,Friday,1,Afternoon,Uptime,High,2018,26
2018-01-26 17:45:00,104.0,19.62,0.0,0.05,98.27,100.0,63900,Weekday,Friday,1,Afternoon,Uptime,High,2018,26
2018-01-27 03:30:00,5.94,4.21,0.0,0.0,81.59,100.0,12600,Weekend,Saturday,1,Night,Uptime,Low,2018,27
2018-01-27 04:00:00,5.87,4.57,0.0,0.0,78.91,100.0,14400,Weekend,Saturday,1,Night,Uptime,Low,2018,27
2018-01-27 05:45:00,5.98,5.0,0.0,0.0,76.72,100.0,20700,Weekend,Saturday,1,Night,Uptime,Low,2018,27
2018-01-27 07:00:00,6.52,4.93,0.0,0.0,79.76,100.0,25200,Weekend,Saturday,1,Morning,Uptime,Low,2018,27
2018-01-27 15:15:00,32.15,1.84,4.28,0.01,99.84,99.13,54900,Weekend,Saturday,1,Afternoon,Uptime,High,2018,27
2018-01-27 17:00:00,7.42,0.0,25.49,0.0,100.0,27.95,61200,Weekend,Saturday,1,Afternoon,Downtime,Low,2018,27
2018-01-27 17:15:00,6.77,0.0,25.56,0.0,100.0,25.6,62100,Weekend,Saturday,1,Afternoon,Downtime,Low,2018,27
2018-01-27 18:45:00,6.26,0.0,22.28,0.0,100.0,27.05,67500,Weekend,Saturday,1,Evening,Downtime,Low,2018,27
2018-01-28 01:30:00,4.86,6.3,0.0,0.0,61.08,100.0,5400,Weekend,Sunday,1,Night,Uptime,Low,2018,28
2018-01-28 01:45:00,4.36,5.0,0.0,0.0,65.72,100.0,6300,Weekend,Sunday,1,Night,Uptime,Low,2018,28
2018-01-28 02:00:00,4.18,4.39,0.0,0.0,68.96,100.0,7200,Weekend,Sunday,1,Night,Uptime,Low,2018,28
2018-01-28 07:15:00,4.9,7.02,0.0,0.0,57.24,100.0,26100,Weekend,Sunday,1,Morning,Uptime,Low,2018,28
2018-01-28 09:00:00,11.05,0.0,17.21,0.01,100.0,54.03,32400,Weekend,Sunday,1,Morning,Downtime,Low,2018,28
2018-01-28 11:45:00,28.22,9.25,0.0,0.01,95.03,100.0,42300,Weekend,Sunday,1,Morning,Uptime,Low,2018,28
2018-01-28 13:15:00,6.41,0.0,24.12,0.0,100.0,25.68,47700,Weekend,Sunday,1,Afternoon,Downtime,Low,2018,28
2018-01-28 14:00:00,28.51,0.04,8.71,0.01,100.0,95.64,50400,Weekend,Sunday,1,Afternoon,Uptime,High,2018,28
2018-01-28 15:30:00,30.1,0.94,2.66,0.01,99.95,99.61,55800,Weekend,Sunday,1,Afternoon,Uptime,High,2018,28
2018-01-28 16:00:00,30.78,1.26,2.38,0.01,99.92,99.7,57600,Weekend,Sunday,1,Afternoon,Uptime,High,2018,28
2018-01-28 20:45:00,6.34,0.0,26.75,0.0,100.0,23.06,74700,Weekend,Sunday,1,Evening,Downtime,Low,2018,28
2018-01-29 07:30:00,4.72,4.68,0.0,0.0,71.01,100.0,27000,Weekday,Monday,1,Morning,Uptime,Low,2018,29
2018-01-29 12:45:00,10.37,0.0,24.84,0.0,100.0,38.52,45900,Weekday,Monday,1,Afternoon,Downtime,Low,2018,29
2018-01-29 14:45:00,97.27,32.29,0.0,0.04,94.91,100.0,53100,Weekday,Monday,1,Afternoon,Uptime,High,2018,29
2018-01-29 15:30:00,71.93,16.78,0.0,0.03,97.39,100.0,55800,Weekday,Monday,1,Afternoon,Uptime,High,2018,29
2018-01-30 01:30:00,23.51,19.98,0.0,0.01,76.2,100.0,5400,Weekday,Tuesday,1,Night,Uptime,Low,2018,30
2018-01-30 03:15:00,5.83,5.72,0.0,0.0,71.38,100.0,11700,Weekday,Tuesday,1,Night,Uptime,Low,2018,30
2018-01-30 06:00:00,4.0,3.89,0.0,0.0,71.69,100.0,21600,Weekday,Tuesday,1,Night,Uptime,Low,2018,30
2018-01-30 10:30:00,114.26,49.07,0.0,0.05,91.88,100.0,37800,Weekday,Tuesday,1,Morning,Uptime,High,2018,30
2018-01-30 14:15:00,59.22,17.64,0.0,0.03,95.84,100.0,51300,Weekday,Tuesday,1,Afternoon,Uptime,High,2018,30
2018-01-30 16:30:00,68.36,25.92,0.0,0.03,93.5,100.0,59400,Weekday,Tuesday,1,Afternoon,Uptime,High,2018,30
2018-01-30 18:15:00,55.26,27.04,0.36,0.03,89.82,100.0,65700,Weekday,Tuesday,1,Evening,Uptime,High,2018,30
2018-01-30 20:45:00,122.26,40.18,0.0,0.06,95.0,100.0,74700,Weekday,Tuesday,1,Evening,Uptime,High,2018,30
2018-01-30 23:30:00,97.31,46.48,0.0,0.04,90.23,100.0,84600,Weekday,Tuesday,1,Evening,Uptime,High,2018,30
2018-01-31 04:00:00,5.83,5.29,0.0,0.0,74.06,100.0,14400,Weekday,Wednesday,1,Night,Uptime,Low,2018,31
2018-01-31 06:15:00,4.03,4.0,0.0,0.0,70.97,100.0,22500,Weekday,Wednesday,1,Morning,Uptime,Low,2018,31
2018-01-31 11:45:00,121.28,53.06,0.0,0.06,91.62,100.0,42300,Weekday,Wednesday,1,Morning,Uptime,High,2018,31
2018-01-31 13:00:00,8.89,0.0,25.16,0.0,100.0,33.32,46800,Weekday,Wednesday,1,Afternoon,Downtime,Low,2018,31
2018-02-01 04:45:00,5.11,5.8,0.0,0.0,66.11,100.0,17100,Weekday,Thursday,2,Night,Uptime,Low,2018,1
2018-02-01 21:00:00,83.2,17.89,0.32,0.04,97.77,100.0,75600,Weekday,Thursday,2,Evening,Uptime,High,2018,1
2018-02-01 22:45:00,72.07,41.36,0.0,0.03,86.73,100.0,81900,Weekday,Thursday,2,Evening,Uptime,High,2018,1
2018-02-02 02:30:00,6.37,5.22,0.0,0.0,77.35,100.0,9000,Weekday,Friday,2,Night,Uptime,Low,2018,2
2018-02-02 07:30:00,5.26,5.04,0.0,0.0,72.2,100.0,27000,Weekday,Friday,2,Morning,Uptime,Low,2018,2
2018-02-02 12:45:00,9.68,0.0,25.34,0.0,100.0,35.69,45900,Weekday,Friday,2,Afternoon,Downtime,Low,2018,2
2018-02-02 15:15:00,55.62,11.66,0.0,0.03,97.87,100.0,54900,Weekday,Friday,2,Afternoon,Uptime,High,2018,2
2018-02-02 17:45:00,91.69,14.98,0.0,0.04,98.69,100.0,63900,Weekday,Friday,2,Afternoon,Uptime,High,2018,2
2018-02-02 20:30:00,37.33,0.18,4.57,0.02,100.0,99.26,73800,Weekday,Friday,2,Evening,Uptime,High,2018,2
2018-02-02 22:45:00,41.33,30.13,0.0,0.02,80.81,100.0,81900,Weekday,Friday,2,Evening,Uptime,High,2018,2
2018-02-03 01:30:00,30.35,19.58,0.0,0.01,84.03,100.0,5400,Weekend,Saturday,2,Night,Uptime,High,2018,3
2018-02-03 02:30:00,6.12,5.0,0.0,0.0,77.44,100.0,9000,Weekend,Saturday,2,Night,Uptime,Low,2018,3
2018-02-03 15:15:00,39.53,1.33,1.4,0.02,99.94,99.94,54900,Weekend,Saturday,2,Afternoon,Uptime,High,2018,3
2018-02-04 02:45:00,5.9,6.01,0.0,0.0,70.05,100.0,9900,Weekend,Sunday,2,Night,Uptime,Low,2018,4
2018-02-04 06:00:00,5.94,5.94,0.0,0.0,70.71,100.0,21600,Weekend,Sunday,2,Night,Uptime,Low,2018,4
2018-02-04 09:00:00,4.07,0.0,13.54,0.0,100.0,28.79,32400,Weekend,Sunday,2,Morning,Downtime,Low,2018,4
